scenario,region,basin,resource,subresource,year,value,Units
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,runoff,2030,19.1203,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,runoff,2035,20.0911,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,runoff,2040,13.6821,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,runoff,2045,18.9034,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,runoff,2050,14.139,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,runoff,2055,13.0073,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,runoff,2060,21.5965,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,runoff,2065,16.1629,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,runoff,2070,19.8897,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,runoff,2075,21.7448,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,runoff,2080,14.0975,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,runoff,2085,18.3403,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,runoff,2090,13.8253,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,runoff,2095,14.5078,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,runoff,2100,27.8058,km^3
