scenario,source,target,year,value,units
rcp45cooler_ssp3,Natural Gas,Liquid Fuels,2020,0,EJ
rcp45cooler_ssp3,Nuclear,Electricity,2020,3.1881744524699998,EJ
rcp45cooler_ssp3,Nuclear,Hydrogen,2020,7.65728e-4,EJ
rcp45cooler_ssp3,Oil,Liquid Fuels,2020,35.832733222,EJ
rcp45cooler_ssp3,Solar,Electricity,2020,0.222455216451142,EJ
rcp45cooler_ssp3,Wind,Electricity,2020,1.4097931086,EJ
rcp45cooler_ssp3,Biomass,Commercial,2025,0.149841937968858,EJ
rcp45cooler_ssp3,Biomass,Electricity,2025,3.57182e-6,EJ
rcp45cooler_ssp3,Biomass,Gas,2025,0.684542,EJ
rcp45cooler_ssp3,Biomass,Hydrogen,2025,0.00429472,EJ
rcp45cooler_ssp3,Biomass,Industry,2025,1.7358724026999999,EJ
rcp45cooler_ssp3,Biomass,Liquid Fuels,2025,1.9103998973621,EJ
rcp45cooler_ssp3,Biomass,Residential,2025,0.50622530294339,EJ
rcp45cooler_ssp3,Coal,Commercial,2025,0.01259186512888,EJ
rcp45cooler_ssp3,Coal,Electricity,2025,6.425644535475255,EJ
rcp45cooler_ssp3,Coal,Gas,2025,0,EJ
rcp45cooler_ssp3,Coal,Hydrogen,2025,1.91868e-7,EJ
rcp45cooler_ssp3,Coal,Industry,2025,1.44723868647,EJ
rcp45cooler_ssp3,Coal,Liquid Fuels,2025,0.0024958181409,EJ
rcp45cooler_ssp3,Coal,Residential,2025,0,EJ
rcp45cooler_ssp3,Electricity,Commercial,2025,5.384462675939046,EJ
rcp45cooler_ssp3,Electricity,Industry,2025,3.0151530737,EJ
rcp45cooler_ssp3,Electricity,Liquid Fuels,2025,0.2060207602082,EJ
rcp45cooler_ssp3,Electricity,Losses,2025,11.200146488971482,EJ
rcp45cooler_ssp3,Electricity,Residential,2025,5.58300566475281,EJ
rcp45cooler_ssp3,Electricity,Transportation-NonVehicle,2025,0.03620966808,EJ
rcp45cooler_ssp3,Electricity,Transportation-Vehicle,2025,0.0724605006,EJ
