scenario,target,source,year,value
rcp45cooler_ssp3,runoff,New England,2055,2.643
rcp45cooler_ssp3,runoff,New England,2060,2.52881
rcp45cooler_ssp3,runoff,New England,2065,2.42505
rcp45cooler_ssp3,runoff,New England,2070,2.32914
rcp45cooler_ssp3,runoff,New England,2075,2.2066
rcp45cooler_ssp3,runoff,New England,2080,2.13054
rcp45cooler_ssp3,runoff,New England,2085,2.06057
rcp45cooler_ssp3,runoff,New England,2090,1.98266
rcp45cooler_ssp3,runoff,New England,2095,1.9228
rcp45cooler_ssp3,runoff,New England,2100,1.82159
rcp45cooler_ssp3,groundwater,Ohio River,1975,0
rcp45cooler_ssp3,groundwater,Ohio River,1990,0
rcp45cooler_ssp3,groundwater,Ohio River,2005,0
rcp45cooler_ssp3,groundwater,Ohio River,2010,0
rcp45cooler_ssp3,groundwater,Ohio River,2015,0
rcp45cooler_ssp3,groundwater,Ohio River,2020,0
rcp45cooler_ssp3,groundwater,Ohio River,2025,0
rcp45cooler_ssp3,groundwater,Ohio River,2030,0
rcp45cooler_ssp3,groundwater,Ohio River,2035,0
rcp45cooler_ssp3,groundwater,Ohio River,2040,0
rcp45cooler_ssp3,groundwater,Ohio River,2045,0
rcp45cooler_ssp3,groundwater,Ohio River,2050,0
rcp45cooler_ssp3,groundwater,Ohio River,2055,0
rcp45cooler_ssp3,groundwater,Ohio River,2060,0
rcp45cooler_ssp3,groundwater,Ohio River,2065,0
rcp45cooler_ssp3,groundwater,Ohio River,2070,0
rcp45cooler_ssp3,groundwater,Ohio River,2075,0
rcp45cooler_ssp3,groundwater,Ohio River,2080,0
rcp45cooler_ssp3,groundwater,Ohio River,2085,0
rcp45cooler_ssp3,groundwater,Ohio River,2090,0
rcp45cooler_ssp3,groundwater,Ohio River,2095,0
rcp45cooler_ssp3,groundwater,Ohio River,2100,0
rcp45cooler_ssp3,runoff,Ohio River,1975,53.3395
rcp45cooler_ssp3,runoff,Ohio River,1990,29.2563
rcp45cooler_ssp3,runoff,Ohio River,2005,34.5474
rcp45cooler_ssp3,runoff,Ohio River,2010,31.8444
rcp45cooler_ssp3,runoff,Ohio River,2015,26.5178
rcp45cooler_ssp3,runoff,Ohio River,2020,20.6681
rcp45cooler_ssp3,runoff,Ohio River,2025,19.634
rcp45cooler_ssp3,runoff,Ohio River,2030,18.308
rcp45cooler_ssp3,runoff,Ohio River,2035,16.5639
rcp45cooler_ssp3,runoff,Ohio River,2040,14.145
rcp45cooler_ssp3,runoff,Ohio River,2045,12.5788
rcp45cooler_ssp3,runoff,Ohio River,2050,11.8112
rcp45cooler_ssp3,runoff,Ohio River,2055,11.7607
rcp45cooler_ssp3,runoff,Ohio River,2060,11.7415
rcp45cooler_ssp3,runoff,Ohio River,2065,11.7659
rcp45cooler_ssp3,runoff,Ohio River,2070,11.7774
rcp45cooler_ssp3,runoff,Ohio River,2075,11.4139
rcp45cooler_ssp3,runoff,Ohio River,2080,10.8772
rcp45cooler_ssp3,runoff,Ohio River,2085,10.7226
rcp45cooler_ssp3,runoff,Ohio River,2090,10.6157
rcp45cooler_ssp3,runoff,Ohio River,2095,10.7924
rcp45cooler_ssp3,runoff,Ohio River,2100,10.6322
rcp45cooler_ssp3,groundwater,Pacific Northwest,1975,0
rcp45cooler_ssp3,groundwater,Pacific Northwest,1990,0
rcp45cooler_ssp3,groundwater,Pacific Northwest,2005,0
rcp45cooler_ssp3,groundwater,Pacific Northwest,2010,0
rcp45cooler_ssp3,groundwater,Pacific Northwest,2015,0
rcp45cooler_ssp3,groundwater,Pacific Northwest,2020,0
rcp45cooler_ssp3,groundwater,Pacific Northwest,2025,0
rcp45cooler_ssp3,groundwater,Pacific Northwest,2030,0
rcp45cooler_ssp3,groundwater,Pacific Northwest,2035,0
rcp45cooler_ssp3,groundwater,Pacific Northwest,2040,0
rcp45cooler_ssp3,groundwater,Pacific Northwest,2045,0
rcp45cooler_ssp3,groundwater,Pacific Northwest,2050,0
rcp45cooler_ssp3,groundwater,Pacific Northwest,2055,0
rcp45cooler_ssp3,groundwater,Pacific Northwest,2060,0
rcp45cooler_ssp3,groundwater,Pacific Northwest,2065,0
rcp45cooler_ssp3,groundwater,Pacific Northwest,2070,0
rcp45cooler_ssp3,groundwater,Pacific Northwest,2075,0
rcp45cooler_ssp3,groundwater,Pacific Northwest,2080,0
rcp45cooler_ssp3,groundwater,Pacific Northwest,2085,0
rcp45cooler_ssp3,groundwater,Pacific Northwest,2090,0
rcp45cooler_ssp3,groundwater,Pacific Northwest,2095,0
rcp45cooler_ssp3,groundwater,Pacific Northwest,2100,0
rcp45cooler_ssp3,runoff,Pacific Northwest,1975,184.026
rcp45cooler_ssp3,runoff,Pacific Northwest,1990,17.8229
rcp45cooler_ssp3,runoff,Pacific Northwest,2005,18.4999
rcp45cooler_ssp3,runoff,Pacific Northwest,2010,18.1181
rcp45cooler_ssp3,runoff,Pacific Northwest,2015,18.3354
rcp45cooler_ssp3,runoff,Pacific Northwest,2020,20.7564
rcp45cooler_ssp3,runoff,Pacific Northwest,2025,22.3244
rcp45cooler_ssp3,runoff,Pacific Northwest,2030,23.6557
rcp45cooler_ssp3,runoff,Pacific Northwest,2035,23.4988
rcp45cooler_ssp3,runoff,Pacific Northwest,2040,24.619
rcp45cooler_ssp3,runoff,Pacific Northwest,2045,25.2484
rcp45cooler_ssp3,runoff,Pacific Northwest,2050,25.849
rcp45cooler_ssp3,runoff,Pacific Northwest,2055,27.242
rcp45cooler_ssp3,runoff,Pacific Northwest,2060,26.7435
rcp45cooler_ssp3,runoff,Pacific Northwest,2065,26.8464
rcp45cooler_ssp3,runoff,Pacific Northwest,2070,27.7638
rcp45cooler_ssp3,runoff,Pacific Northwest,2075,26.9294
rcp45cooler_ssp3,runoff,Pacific Northwest,2080,29.0014
rcp45cooler_ssp3,runoff,Pacific Northwest,2085,30.1282
rcp45cooler_ssp3,runoff,Pacific Northwest,2090,31.6021
rcp45cooler_ssp3,runoff,Pacific Northwest,2095,33.5747
rcp45cooler_ssp3,runoff,Pacific Northwest,2100,33.252
rcp45cooler_ssp3,groundwater,Rio Grande River,1975,0
rcp45cooler_ssp3,groundwater,Rio Grande River,1990,4.87936
